machine_name,model_name,board_name,lot_number,model_code,default_date,volume,rest_volume,line_code,productions,divisions_volume
GC07,VCB-T2C4,DCP-122Z集合,1200008-20,Y8470730R,2025-12-02,2400.0,0,GT13,"{datetime.datetime(2025, 11, 28, 0, 0): 1600, datetime.datetime(2025, 12, 1, 0, 0): 800}",20
GC07,VCB-T2C4,DCP-122Z集合,1200010-20,Y8470730R,2025-12-02,800.0,0,GT13,"{datetime.datetime(2025, 12, 1, 0, 0): 800}",20
GC07,VCB-T2C4,DCP-122Z集合,1200031-10,Y8470730R,2025-12-02,1180.0,0,GT13,"{datetime.datetime(2025, 12, 1, 0, 0): 1180}",20
GC07,VCB-T2C4,DCP-122Z集合,1200031-20,Y8470730R,2025-12-02,1180.0,0,GT13,"{datetime.datetime(2025, 12, 1, 0, 0): 1180}",20
GC07,FH1502D0F,MAIN集合,1199870-10,Y8469922R,2025-12-02,60.0,0,GC18,"{datetime.datetime(2025, 12, 4, 0, 0): 60}",2
GC07,FH1502D0F,MAIN集合,1199870-20,Y8469922R,2025-12-02,60.0,0,GC18,"{datetime.datetime(2025, 12, 4, 0, 0): 60}",2
GC07,FH1344,MAIN,1199882-10,Y8469926RA,2025-12-03,20.0,0,GC18,"{datetime.datetime(2025, 12, 4, 0, 0): 20}",1
GC07,FH1344,MAIN,1199882-20,Y8469926RA,2025-12-03,20.0,0,GC18,"{datetime.datetime(2025, 12, 4, 0, 0): 20}",1
GC07,VCB-T5C4L,DCP-122Z集合,1200012-10,Y8470734R,2025-12-02,1360.0,0,GT13,"{datetime.datetime(2025, 12, 4, 0, 0): 1360}",20
GC07,VCB-T5C4L,DCP-122Z集合,1200013-10,Y8470734R,2025-12-02,3000.0,0,GT13,"{datetime.datetime(2025, 12, 5, 0, 0): 3000}",20
GC07,VCB-T5C4L,DCP-122Z集合,1200012-20,Y8470734R,2025-12-02,1360.0,0,GT13,"{datetime.datetime(2025, 12, 5, 0, 0): 1360}",20
GC07,VCB-T5C4L,DCP-122Z集合,1200013-20,Y8470734R,2025-12-02,3000.0,0,GT13,"{datetime.datetime(2025, 12, 5, 0, 0): 3000}",20
GC07,OPERATION_UNIT,KEY,1199927-10,Y8469973R,2025-12-02,100.0,0,GC25,"{datetime.datetime(2025, 12, 5, 0, 0): 100}",1
GC07,OPERATION_UNIT,KEY,1199928-10,Y8469973R,2025-12-02,100.0,0,GC25,"{datetime.datetime(2025, 12, 5, 0, 0): 100}",1
